,source,target,edge
0,Ma,Any,Assign
1,Roger,Right,Assign
2,Licensee,Otherwise  Any,Assign
3,Licensee,Right,Have
4,Licensee,Any,Sublicense
5,Party,Right,Assign
6,Party,Agreement,Assign
7,Attempt,Agreement,Be Null
8,Party,Agreement,Assign
9,Theother  Party,Written  Notice,Given
10,Death,Eight 8) Week,Terminated By
11,Below  Musclepharm,Otherwise  Right,Assign
12,Party,Otherwise  Right,Voluntarily
13,License,Right,Permitted
14,Such  Party,Agreement,Obtain In
15,Party,Otherwise  Agreement,Assign
16,Exxonmobil,Agreement,Assign
17,Purported  Assignment,Right,Understood
18,Distributor,License  Transfer,Sub-
19,Supplier,Notice,Give
20,Distributor,Contract,Sub
21,Party,Otherwise  Any,Assign
22,Distributor,Any,Assign
23,Distributor,Duty,Assign To
24,Party,Right,Assign
25,Hydraspin,Agreement,Assign
26,Such Affiliated Company,A,Provided
27,Such  Assignment,Assigning Party,Release
28,Party,Agreement,Assign
29,Party,Agreement,Assign
30,Assignment,Consent,Require
31,Member,Article Viii,Terminate In
32,Investor,Right,Withheld
33,Party,Right,Assign
34,Village Media Company,Otherwise  Any,Assign
35,Vyera,Agreement,Assign
36,Other  Assignment,Financially  Obligation,Understood
37,Company,Right,Sublicense To
38,Agreement,Right,Binding Upon
39,Party,Otherwise  Any,Assign
40,Party,Right,Assign
41,Agreement,Respective  Assign,Binding Upon
42,Party,Right,Have
43,Dexcel,Agreement,Considered A
44,Party,Agreement,Assign
45,That,Term,Be Void
46,Party,Right,Ha
47,Programmer,Agreement,Assign
48,Party,Right,Assign
49,Party,Agreement,Assign
50,Only  Supplier,Agreement,Assign
51,Customer,Agreement,Assign
52,Unreasonably  Merger,Comparable  Assignment,Provided
53,Party,Such  Assignment,Desire
54,Mmt,Sublicense,Grant
55,Supplier,Agreement,Assign
56,Cht,Third  Party,Use Third
57,Party,Right,Provided
58,Channel Partner,Agreement,Assign
59,Agreement,Consent  Transfer,Assigned
60,Party,Agreement,Assign
61,Newegg,Right,Have
62,Manufacturer,Any,Transfer
63,Customer,Freely  Right,Transfer
64,Transfer,Assignment,Deemed
65,Seller,All,Assigned In Whole
66,Seller,Agreement,Assigned
67,Party,Agreement,Assign
68,Licensed  User,Agreement,Be Void
69,Licensee,Otherwise  Agreement,Assign
70,Agreement,Agreement,Omitted
71,Agreement,Agreement,Be Terminable
72,Licensee,Part,Sublicense
73,Company,Agreement,Assign
74,Acsi,Agreement,Assign
75,Party,Agreement,Assign
76,Party,Right,Assign
77,Herein  Party,Right,Transfer
78,Party,Agreement,Assign
79,Party,Agreement,Assign
80,Attemptto,Agreement,Assign
81,However  Verticalnet,Agreement,Transfer
82,However  Party,Agreement,Provided
83,Herein  Party,Right,Transfer
84,Assigning Party,Notice,Assigned
85,Party,Otherwise  All,Assign
86,Party,Right,Assign
87,Party,Right,Have
88,Network Affiliate,Any,Assign
89,Agreementshall,Expressly  Obligation,Be Assignable
90,Party,Agreement,Assign
91,Berkshire,Agreement,Assign
92,Company,Licensed Mark,Sublicense
93,Party,Agreement,Assign
94,Party,Any,Assign
95,Party,Right,Assign
96,Party,Agreement,Assign
97,Developer,Obligation,Assign
98,15.2.9,Mutatis Mutandi,Apply
99,I  Sale,Freely  Any,Entitled
100,Following  Event,Default,Constitute
101,Dr. Murray,Unique  Qualification,Has Unique
102,Unreasonably  Party,Such  Assignment,Sell
103,Abbvie,One,Use
104,Party,Right,Assign
105,Developer,Agreement,Assign
106,T&B,Third  License,Grant
107,Party,Agreement,Assign
108,Party,Agreement,Assign
109,However  Liquidmetal,Right,Transferred
110,However  Licensor,Agreement,Assign
111,Hereto  Party,Written  Consent,Sell
112,Sfj,Otherwise  Agreement,Sell
113,Sanofi,Right,Have
114,Party,Agreement,Assign
115,Sanofi,Agreement,Assign
116,Party,Agreement,Assign
117,Unreasonably  Sekisui,Agreement,Assigned
118,Licensee,Right,Ha
119,Licensor,Hereunder,Assigned
120,Party,Any,Assign
121,Licensee,Right,Have
122,Licensee,Any,Sublicense
123,Party,Right,Assign
124,Party B,Right,Assign
125,Herein  Party,Right,Have
126,Other  Party,Which,I
127,Party,Right,Have
128,Purported  Assignment,Force,Be Null
129,Distributor,Right,Have
130,Staar,Any,Provided
131,Other  Party,Acces,Included In
132,Other  Party,Agreement,Be Null
133,Arizona,Any,Assign
134,Third Party Contractor,Right,Permitted
135,Licensee,Purported  Assignment,Be Void
136,Licensor,Hereunder,Assigned
137,Papa John,-,Wish
138,Only  Abg,Approval Therefor,Done If
139,You,Transfer,Make
140,Ef,Agreement,Assign
141,Distributor,Right,Assign
142,Customer,Right,Have
143,Herein  Party,Obligation,Assign
144,However  Premier,Agreement,Provided
145,Consultant,Portion,Subcontract
146,Party,Performance,Delegate
147,Consultant,Right,Sell
148,Agreement,Right,Is Personal
149,Consented  Assignment,Breach,Be Void
150,Transferwithout,Breach,Be Void
151,Party,Otherwise  Right,Assign
152,Any,All,Entitled
153,Agreement,Power,Be
154,Lmg,Any,Subcontract
155,You,Directly  Transfer,Make
156,Agreement,Respective  Chapter,Inure To
157,It,Notice,Permitted By
158,Provider,Otherwise  Agreement,Assign
159,Agreement,Which,Provided
160,Sub Advisor,Right,Assign
161,Cro,Part,Subcontract
162,Cro,Right,Assign
163,Party,Agreement,Assign
164,Right,Hereto  It,Assign
165,However  Party,Hereto Collateral Assignment,Make
166,Service Recipient,Right,Assign
167,Service Provider,Right,Assign
168,Hereof Subject Tda,Affiliated  Parent,Assigned By
169,Party,Any,Assign
170,Iso,Agreement,Terminate
171,Theassigning  Party,Agreementother,Be Null
172,Consent,Hereunder,Assigned
173,Sponsor,Right,Have
174,Party,Right,Assign
175,Party,Agreement,Assign
176,Party,Agreement,Assign
177,Attempt,Other,Be Null
178,Party,Agreement,Sell
179,Consent,Assignment,Agreement
180,Party,Any,Assign
181,Party,Agreement,Assign
182,Attempt,Other,Be Null
183,Party,Agreement,Assign
184,Contractor,Agreement,Assign
185,Party,Right,Assign
186,Thethird Party,Written  Notice,Relieved Of
187,I  Company,Assignment,Assigned By
188,And(B,All,Assign
189,Party,-,Sell
190,Further  Assignee,Agreement,Soassigned
191,Agreement,Power,Be
192,Customer,Financial  Capital,Assigned By
193,Customer,Freely  Agreement,Assigned By
194,Party,Right,Assign
195,Msl,All,Assign
196,Msl,Anyright,Assign
197,Msl,Agreement,Assign
198,Party,Hereto  Right,Assign
199,Party,Agreement,Assign
200,Party,Agreement,Assign
201,Mcdatum,Agreement,Assign
202,Nat,Written Withoutmedianet Group Consent,Assign
203,Consequently  Agreement,All,Assigned
204,Party,Agreement,Assign
205,Party,Right,Transfer
206,12.2  Party,Right,Assign
207,Party,Respective  Right,Assign
208,Party,Agreement,Assigned By
209,Bellicum,Written  Consent,Agree
