,source,target,edge
0,Governing Law,Nevada,of
1,Governing Law,"Ontario, Canada",of
2,Governing Law,Florida,of
3,Governing Law,New York,of
4,Governing Law,California,of
5,Governing Law,Tennessee,of
6,Governing Law,"England, United Kingdom; Wales, United Kingdom",of
7,Governing Law,Delaware,of
8,Governing Law,Ohio,of
9,Governing Law,Indiana,of
10,Governing Law,Texas,of
11,Governing Law,Michigan,of
12,Governing Law,Netherlands,of
13,Governing Law,Iowa,of
14,Governing Law,Maryland,of
15,Governing Law,Israel,of
16,Governing Law,Colorado,of
17,Governing Law,Alabama,of
18,Governing Law,Spain,of
19,Governing Law,Taiwan,of
20,Governing Law,[* * *],of
21,Governing Law,Virginia,of
22,Governing Law,Kansas,of
23,Governing Law,Illinois,of
24,Governing Law,England,of
25,Governing Law,People's Republic of China; United Nations Convention on Contract for the International Sale of Goods,of
26,Governing Law,Texas; Singapore; Belgium,of
27,Governing Law,People's Republic of China,of
28,Governing Law,Washington,of
29,Governing Law,Illinois; New York,of
30,Governing Law,Pennsylvania,of
31,Governing Law,Germany,of
32,Governing Law,"Virginia, Texas",of
33,Governing Law,Connecticut,of
34,Governing Law,Georgia,of
35,Governing Law,[],of
36,Governing Law,California; the state in which the breach occurs,of
37,Governing Law,Arizona,of
38,Governing Law,Hong Kong,of
39,Governing Law,United States,of
40,Governing Law,"British Columbia, Canada",of
41,Governing Law,Massachusetts,of
42,Governing Law,THE STATE IN WHICH THE FRANCHISED RESTAURANT IS LOCATED; THE UNITED STATES TRADEMARK ACT OF 1946,of
43,Governing Law,"England and Wales, UK",of
44,Governing Law,Beijing,of
45,Governing Law,India,of
46,Governing Law,Minnesota,of
47,Governing Law,Oklahoma,of
48,Governing Law,New Jersey,of
49,Governing Law,Papua New Guinea,of
50,Governing Law,Wisconsin,of
51,Governing Law,Massachusetts; Netherlands,of
52,Governing Law,Missouri,of
53,Governing Law,North Carolina,of
54,Governing Law,Colombia,of
55,Governing Law,Arkansas,of
56,Governing Law,"Province of Ontario, Canada",of
57,Governing Law,Republic of Kazakhstan,of
58,Governing Law,China,of
59,Governing Law,British Columbia,of
60,Governing Law,Japan,of
61,Governing Law,Italy,of
62,Governing Law,District of Columbia,of
63,Governing Law,"Victoria, Australia",of
64,Governing Law,England and Wales,of
65,Governing Law,South Dakota,of
66,Governing Law,"Delaware, Illinois",of
67,Governing Law,Louisiana,of
68,Governing Law,"Nova Scotia, Canada",of
69,Governing Law,England; Wales,of
70,Governing Law,Switzerland,of
71,Governing Law,Republic of South Africa,of
72,Governing Law,New York; Massachussets,of
73,Governing Law,Kentucky,of
74,Governing Law,California; Hong Kong,of
75,Governing Law,"British Columbia,Canada",of
76,Governing Law,Federal Republic of Germany,of
