,source,target,edge
0,Musclepharm,Any,Transfer
1,Who,Herein  Musclepharm,Prepared By
2,Company,Copyright,Assign To
3,Such  Right,Intellectual  Property,Owned By
4,Conformi,Such  Assignment,Agree
5,It,Reasonable  Assistance,Assign
6,Reed‚Äô,Exclusively  Deliverables.Ompany,Own
7,Distributor,Promptly  Erchonia,Inform
8,Franchisee,Such  Registration,Deemed
9,Franchisee,Such  Right,Execute
10,Ownership,Right,Vest In
11,Other Ancillary Party,Intellectual Property Assignment,Execute Intellectual
12,Other Ancillary Party,Intellectual Property Assignment,Shall
13,Investor,All  Right,Own
14,University,Ind,Assign
15,Permitted  Use,2.5 Village Media,Agree
16,Vyera,Hereby  All,Assign
17,Vyera,Right,Deemed
18,Vendor,All  Right,Assign
19,Manufacturer,Right,Acknowledge
20,Customer,Right,Acknowledge
21,Such  Assignment,Existing Intellectual Property Right,Include Existing
22,Comparable  They,Thereof ‚ Äúwork,Deemed
23,Party,Right,Agree
24,Dovum,All  Right,Own
25,Valeant,Hereby  Right,Vest
26,Manufacturer,Copyright Holder,Appointed
27,Licensee,Right,Assign
28,Licensee,Hereby  Right,Assign
29,All  Right,Work,Deemed
30,Party,Ownership Right,Take
31,Ebix,All  Right,Own
32,Centive,All,Transfer
33,Verticalnet,Domain Name,Register
34,Verticalnet,Domain Name,Register
35,That,Highest  Amount,Owned By
36,Network Affiliate,Therein  Right,Owned
37,Xencor,Such Promotional Material,Assign To
38,Developer,‚ Äúwork,Deemed
39,Bioeq,Applicable Regulatory Approval,Transfer
40,Licensee,Sole  Right,Have
41,Licensee,Competent Regulatory Authority,Notify
42,Physical Day Time Transfer,],Provided
43,Developer,Expressly  Right,Acknowledge
44,Developer,Right,Assign
45,Lea,Document,Assign
46,It,Jointly Amorphous Alloy Technology,Agreed
47,Sfj,True  Copy,Deliver To
48,65  66)Sfj,Sole  Ownership,Acknowledge
49,11.1.1.2(A).Sfj,Sole  Ownership,Is Necessary
50,Other Permitted Third Party,Right,Assign
51,Sfj,Right,Cause
52,Sfj,Action,Made Under
53,Revmed,Clinical Trial,Agree
54,Sanofi,Business Entity Name,Transfer
55,Äúabandoned Joint Sekisui,Such Abandoned Joint Ip,Elect
56,Pacificap Entertainment,Promotional Stock Footage Poster,Agree
57,Party B,Party A,Notify
58,So  Distributor,Reasonable  Action,Take
59,Arizona,Entire  Right,Agree
60,Collectively Äúfox Intellectual Property‚Äù).Licensee,Intellectual Property Right,Acknowledge
61,Licensee,One Copyright Assignment,Agree
62,Licensee,Written  Assignment,Obtain From Such
63,Licensee,Right,Assign To
64,Licensee,Moral That,Transfer
65,Herein  Result,‚ Äúwork,Deemed
66,Material,Document,Assigned To
67,You,Written  Approval,Do
68,Exclusive  You,Right,Assign To
69,You,That,Agree
70,Exclusive  We,Exclusive  License,I
71,Client,Content,Own
72,Content(‚Äúderivative  Ef,Modification,Assigns To
73,Ef,Authorized Modification,Assign
74,Client,Interest  Right,Deemed
75,Ef,Hereby  Transfer,Assign
76,Permissible  Developer,Copyright,Assign
77,Developer,Software,Grants To
78,Collectively  111Nventions‚Äù).Consultant,Service,Agree
79,Consultant,Consultant‚Äôs Signature,Agree
80,Consultant,Such Work Product,Disclose Such
81,Other  Instruments).Consultant,‚ Äúwork,Acknowledge
82,Furthermore  Consultant,Written  Instrument,Agree
83,Consultant,That,Apply To
84,Consultant,Service,Agree
85,Consultant,Written  Disclosure,Agree
86,Consultant,Company,Agree
87,Consultant,Consultant‚Äô,Agree
88,Ip‚Äù ‚ Consultant,Right,Assign
89,Consultant,Aduro,Assist
90,Consultant,Invention,Assigns To
91,Consultant,Further  Assignment,Execute Such
92,Consultant,Invention,Disclose To
93,Consultant,Company,Assist
94,Franchisee,Suchpromotionalallowancesfor Remission,Assigns To
95,Ip‚Äù ‚ Consultant,Right,Assign
96,Consultant,Aduro,Assist
97,Ownership,Right,Vest In
98,I,Such  Ownership,Determine
99,You,Such  Action,Take Such
100,Ximage,Thefollowing,Provide
101,Agreement,Irrevocable  Assignment,Constitute
102,<,Work,Omitted
103,Particular  Company,Proprietary  Work,Agree
104,Executive,Entire  Right,Assigns To
105,You,All,Assign
106,Company Ip,All  Right,To
107,Ivillage,Intellectual  Right,Assigns To
108,Ibm,Ownership,Assume
109,Bank,All  Right,Own
110,Bank,Exclusively Work Product,Own
111,Philip,Right  Title,Assign
