,source,target,edge
0,Such  Policy,Protection,Provide
1,Musclepharm,As Certificate,Agree
2,Musclepharm,As Party,Be Responsible
3,Musclepharm,Deductible,Be Responsible
4,Party,General Liability Insurance,False General
5,Party,Written  Proof,Provide
6,Supplier,Distributor,Add
7,Supplier,Product Liability Insurance,Maintain
8,Franchisee,Policy,Maintain
9,Customer,Personal Property Insurance,Is Responsible
10,Artara,General Liability Insurance,Obtain
11,Insurance,University Indemnitee,Identify
12,University,Right,Have
13,Insurance,Coverage,Include
14,Such  Insurance,Additionally  Error,Include
15,Artara,University,Made
16,Party,General  Liability,Maintain Comprehensive
17,Party,Certificate,Provide
18,Company,Jhu,Furnish
19,I,Insurance Coverage,Maintain
20,Ii,Subcontractor,Require
21,Vendor,Least  Thirty,Provide
22,Insurance,Coverage,Represent
23,Policy,Waiver,Include
24,State Run Vendor,Gap Employers Liability,Add
25,False General Aggregate,Liability,Assumed Under
26,Applicable  Vendor,Products Completed Operation,Maintain
27,Vendor,Copy,Provide
28,Explosion,Same Limit Requirement,Have
29,Vendor,Property Coverage,Limit For
30,Vendor,Property Insurance,Maintain
31,Operator,Following  Insurance,Maintain In
32,Customer,Specifically Insurance Coverage,Agree
33,It,Such  Insurance,Insured
34,Manufacturer,Such Insurance Coverage,Assumed By
35,Manufacturer,Required Insurance Coverage,Furnish To
36,Whichever,Herein,Written For
37,Insurance Carrier,Minimum,Have
38,Insurance,Following,Said
39,Jones Act,Personal Operations Coverage,Occurrence
40,Non-,Vehicle,Insurance
41,Party,Commercially  Amount,Carry Appropriate
42,Xspa,Special Form Property Stock,Workers’
43,Such  Insurance,Personal Operations Coverage,Participate In
44,Xspa,Coverage,Maintain
45,Xspa,Such  Insurance,Provide To
46,Certificate,Written  Notice,Provide
47,Insurer,Best’s Insurance Rating,Have
48,Each,Other  Party,Provide
49,Party,Additional Insurance Coverage,Request
50,Party,General Liability Obligation,Acknowledge
51,Mmt,General Liability Insurance,Each
52,Annual  Each,Other  Party,Aggregate
53,Mmt,Such  Insurance,Maintain Such
54,Party,Following  Policy,Maintain
55,Other  Party,Requesting  Party,Provide
56,Applicable  Party,Other  Party,Provide
57,Constellation,],Secure
58,Constellation,Hof Entity,Provide
59,Party,Compensation Employer’s Liability Insurance,Obtain
60,Sponsor,Own Liability Insurance,Have
61,Manufacturing Company,Product,Maintain Throughout
62,Customer,Product Liability Insurance,Maintain
63,Association,30 Days’ Notice,Be
64,Party,Minimum  Type,Maintain
65,Based  Coverage,Alternate Employer Endorsement,Requires Alternate
66,Insurer,Financial  Rating,Have At
67,Insurance,That,Be
