,State_Or_Country
0,Nevada
1,"Ontario, Canada"
2,Florida
3,New York
4,California
5,Tennessee
6,"England, United Kingdom; Wales, United Kingdom"
7,Delaware
8,Ohio
9,Indiana
10,Texas
11,Michigan
12,Netherlands
13,Iowa
14,Maryland
15,Israel
16,Colorado
17,Alabama
18,Spain
19,Taiwan
20,[* * *]
21,Virginia
22,Kansas
23,Illinois
24,England
25,People's Republic of China; United Nations Convention on Contract for the International Sale of Goods
26,Texas; Singapore; Belgium
27,People's Republic of China
28,Washington
29,Illinois; New York
30,Pennsylvania
31,Germany
32,"Virginia, Texas"
33,Connecticut
34,Georgia
35,[]
36,California; the state in which the breach occurs
37,Arizona
38,Hong Kong
39,United States
40,"British Columbia, Canada"
41,Massachusetts
42,THE STATE IN WHICH THE FRANCHISED RESTAURANT IS LOCATED; THE UNITED STATES TRADEMARK ACT OF 1946
43,"England and Wales, UK"
44,Beijing
45,India
46,Minnesota
47,Oklahoma
48,New Jersey
49,Papua New Guinea
50,Wisconsin
51,Massachusetts; Netherlands
52,Missouri
53,North Carolina
54,Colombia
55,Arkansas
56,"Province of Ontario, Canada"
57,Republic of Kazakhstan
58,China
59,British Columbia
60,Japan
61,Italy
62,District of Columbia
63,"Victoria, Australia"
64,England and Wales
65,South Dakota
66,"Delaware, Illinois"
67,Louisiana
68,"Nova Scotia, Canada"
69,England; Wales
70,Switzerland
71,Republic of South Africa
72,New York; Massachussets
73,Kentucky
74,California; Hong Kong
75,"British Columbia,Canada"
76,Federal Republic of Germany
