,Undefined
0,Musclepharm
1,Any
2,Who
3,Herein  Musclepharm
4,Company
5,Copyright
6,Such  Right
7,Intellectual  Property
8,Such  Assignment
9,Fce
10,It
11,Reasonable  Assistance
12,Exclusively  Deliverables.Ompany
13,Hire  Company
14,Distributor
15,Promptly  Erchonia
16,Such  Registration
17,Franchisee
18,Ownership
19,Right
20,Other Ancillary Party
21,Intellectual Property Assignment
22,Investor
23,All  Right
24,University
25,Ind
26,Permitted  Use
27,2.5 Village Media
28,Hereby  All
29,Cytodyn
30,At&T
31,Vendor
32,Manufacturer
33,Customer
34,Existing Intellectual Property Right
35,Comparable  They
36,Thereof ‚ Äúwork
37,Party
38,Hereby  Right
39,Copyright Holder
40,Licensee
41,Work
42,Ownership Right
43,Ebix
44,Centive
45,All
46,Verticalnet
47,Domain Name
48,That
49,Highest  Amount
50,Therein  Right
51,Such Promotional Material
52,Xencor Know How
53,Developer
54,‚ Äúwork
55,Applicable Regulatory Approval
56,Sole  Right
57,Competent Regulatory Authority
58,Physical Day Time Transfer
59,]
60,Expressly  Right
61,Lea
62,Document
63,Jointly Amorphous Alloy Technology
64,Sfj
65,True  Copy
66,65  66)Sfj
67,Sole  Ownership
68,11.1.1.2(A).Sfj
69,Other Permitted Third Party
70,Action
71,Revmed
72,Clinical Trial
73,Business Entity Name
74,Äúabandoned Joint Sekisui
75,Such Abandoned Joint Ip
76,Pacificap Entertainment
77,Promotional Stock Footage Poster
78,Party B
79,So  Distributor
80,Reasonable  Action
81,Entire  Right
82,Collectively Äúfox Intellectual Property‚Äù).Licensee
83,Intellectual Property Right
84,One Copyright Assignment
85,Written  Assignment
86,Moral That
87,Herein  Result
88,Material
89,You
90,Written  Approval
91,Exclusive  You
92,Exclusive  We
93,Exclusive  License
94,Content
95,Content(‚Äúderivative  Ef
96,Modification
97,Ef
98,Authorized Modification
99,Interest  Right
100,Hereby  Transfer
101,Permissible  Developer
102,Software
103,Collectively  111Nventions‚Äù).Consultant
104,Service
105,Consultant
106,Consultant‚Äôs Signature
107,Such Work Product
108,Other  Instruments).Consultant
109,Copyrightable  Work
110,Furthermore  Consultant
111,Written  Instrument
112,Written  Disclosure
113,Foregoing
114,Record
115,Ip‚Äù ‚ Consultant
116,Computer Work
117,Invention
118,Further  Assignment
119,Written  Record
120,Suchpromotionalallowancesfor Remission
121,Development
122,Appropriate  We
123,I
124,Such  Ownership
125,Such  Action
126,Ximage
127,Thefollowing
128,Recipient
129,Agreement
130,Irrevocable  Assignment
131,<
132,Particular  Company
133,Proprietary  Work
134,Use
135,Contractor
136,Executive
137,Company Ip
138,Ivillage
139,Intellectual  Right
140,‚ Proprietary Right
141,Ibm
142,Plan
143,Bank
144,Exclusively Work Product
145,Right  Title
146,That  Macrogenic
147,Datum
148,12.3 ‚ Äúintellectual Property‚Äù
149,Patent
150,One
151,Bli
152,Patent Application
153,Event
154,Bii¬†(On¬†Behalf
155,Xencor
156,Intellectual Property Company
157,Igene
158,Herebyassign
159,Currentrecordsrelating
160,Transfersandassignmentsand  Otherthing
161,Applicable  Member
162,Such Spinco Designee
163,Each
164,Reasonable  Effort
165,Required  Consent
166,Otherwise  Parent
167,Unreleased Spinco Ip Liability
168,Spinco
169,42Nd  Edition
170,Such  Information
171,Otherwise  Gsk
172,Necessary  Theravance
173,Fmi
174,Case
175,Sole  Title
