,edge,source,target
0,Transfer,Musclepharm,Any
1,Prepared By,Who,Herein  Musclepharm
2,Assign To,Company,Copyright
3,Owned By,Such  Right,Intellectual  Property
4,Agree,Conformi,Such  Assignment
5,Assign,It,Reasonable  Assistance
6,Own,Reed‚Äô,Exclusively  Deliverables.Ompany
7,Inform,Distributor,Promptly  Erchonia
8,Deemed,Franchisee,Such  Registration
9,Execute,Franchisee,Such  Right
10,Vest In,Ownership,Right
11,Execute Intellectual,Other Ancillary Party,Intellectual Property Assignment
12,Shall,Other Ancillary Party,Intellectual Property Assignment
13,Own,Investor,All  Right
14,Assign,University,Ind
15,Agree,Permitted  Use,2.5 Village Media
16,Assign,Vyera,Hereby  All
17,Deemed,Vyera,Right
18,Assign,Vendor,All  Right
19,Acknowledge,Manufacturer,Right
20,Acknowledge,Customer,Right
21,Include Existing,Such  Assignment,Existing Intellectual Property Right
22,Deemed,Comparable  They,Thereof ‚ Äúwork
23,Agree,Party,Right
24,Own,Dovum,All  Right
25,Vest,Valeant,Hereby  Right
26,Appointed,Manufacturer,Copyright Holder
27,Assign,Licensee,Right
28,Assign,Licensee,Hereby  Right
29,Deemed,All  Right,Work
30,Take,Party,Ownership Right
31,Own,Ebix,All  Right
32,Transfer,Centive,All
33,Register,Verticalnet,Domain Name
34,Register,Verticalnet,Domain Name
35,Owned By,That,Highest  Amount
36,Owned,Network Affiliate,Therein  Right
37,Assign To,Xencor,Such Promotional Material
38,Deemed,Developer,‚ Äúwork
39,Transfer,Bioeq,Applicable Regulatory Approval
40,Have,Licensee,Sole  Right
41,Notify,Licensee,Competent Regulatory Authority
42,Provided,Physical Day Time Transfer,]
43,Acknowledge,Developer,Expressly  Right
44,Assign,Developer,Right
45,Assign,Lea,Document
46,Agreed,It,Jointly Amorphous Alloy Technology
47,Deliver To,Sfj,True  Copy
48,Acknowledge,65  66)Sfj,Sole  Ownership
49,Is Necessary,11.1.1.2(A).Sfj,Sole  Ownership
50,Assign,Other Permitted Third Party,Right
51,Cause,Sfj,Right
52,Made Under,Sfj,Action
53,Agree,Revmed,Clinical Trial
54,Transfer,Sanofi,Business Entity Name
55,Elect,Äúabandoned Joint Sekisui,Such Abandoned Joint Ip
56,Agree,Pacificap Entertainment,Promotional Stock Footage Poster
57,Notify,Party B,Party A
58,Take,So  Distributor,Reasonable  Action
59,Agree,Arizona,Entire  Right
60,Acknowledge,Collectively Äúfox Intellectual Property‚Äù).Licensee,Intellectual Property Right
61,Agree,Licensee,One Copyright Assignment
62,Obtain From Such,Licensee,Written  Assignment
63,Assign To,Licensee,Right
64,Transfer,Licensee,Moral That
65,Deemed,Herein  Result,‚ Äúwork
66,Assigned To,Material,Document
67,Do,You,Written  Approval
68,Assign To,Exclusive  You,Right
69,Agree,You,That
70,I,Exclusive  We,Exclusive  License
71,Own,Client,Content
72,Assigns To,Content(‚Äúderivative  Ef,Modification
73,Assign,Ef,Authorized Modification
74,Deemed,Client,Interest  Right
75,Assign,Ef,Hereby  Transfer
76,Assign,Permissible  Developer,Copyright
77,Grants To,Developer,Software
78,Agree,Collectively  111Nventions‚Äù).Consultant,Service
79,Agree,Consultant,Consultant‚Äôs Signature
80,Disclose Such,Consultant,Such Work Product
81,Acknowledge,Other  Instruments).Consultant,‚ Äúwork
82,Agree,Furthermore  Consultant,Written  Instrument
83,Apply To,Consultant,That
84,Agree,Consultant,Service
85,Agree,Consultant,Written  Disclosure
86,Agree,Consultant,Company
87,Agree,Consultant,Consultant‚Äô
88,Assign,Ip‚Äù ‚ Consultant,Right
89,Assist,Consultant,Aduro
90,Assigns To,Consultant,Invention
91,Execute Such,Consultant,Further  Assignment
92,Disclose To,Consultant,Invention
93,Assist,Consultant,Company
94,Assigns To,Franchisee,Suchpromotionalallowancesfor Remission
95,Assign,Ip‚Äù ‚ Consultant,Right
96,Assist,Consultant,Aduro
97,Vest In,Ownership,Right
98,Determine,I,Such  Ownership
99,Take Such,You,Such  Action
100,Provide,Ximage,Thefollowing
101,Constitute,Agreement,Irrevocable  Assignment
102,Omitted,<,Work
103,Agree,Particular  Company,Proprietary  Work
104,Assigns To,Executive,Entire  Right
105,Assign,You,All
106,To,Company Ip,All  Right
107,Assigns To,Ivillage,Intellectual  Right
108,Assume,Ibm,Ownership
109,Own,Bank,All  Right
110,Own,Bank,Exclusively Work Product
111,Assign,Philip,Right  Title
112,B,That  Macrogenic,Datum
113,Mean,12.3 ‚ Äúintellectual Property‚Äù,Patent
114,Will,Ginkgo,One
115,Shall,Bli,Patent Application
116,Assign,Bli,One
117,Acknowledged,Event,Service
118,Agree,Bii¬†(On¬†Behalf,Right  Title
119,Agree,Xencor,Right  Title
120,Provide Reasonable,Xencor,Reasonable  Assistance
121,Assign To,Intellectual Property Company,Such  Right
122,Doe,Turpin,Herebyassign
123,Agree,Turpin,Currentrecordsrelating
124,Assist With,Turpin,Transfersandassignmentsand  Otherthing
125,Cause,Applicable  Member,Such Spinco Designee
126,Use,Each,Reasonable  Effort
127,Continue,Applicable  Member,Required  Consent
128,Assign,Otherwise  Parent,Unreleased Spinco Ip Liability
129,Agree,Spinco,42Nd  Edition
130,Acknowledge,You,System
131,Acknowledge,You,Such  Information
132,Acknowledge,You,That
133,Assign To,You,Right
134,Cooperate As Necessary,Otherwise  Gsk,Necessary  Theravance
135,Assign To,Fmi,Right
136,Acquire Sole,Case,Sole  Title
137,Transfer To,Dialog,Tooling
138,Undertake,Which,Own  Share
139,Assigns To,Kiromic,Right
140,Acknowledge,Rubicon,Intellectual Property
141,Assign To,Consultants Andagent,‚ Äúwork
142,Be,Possible  Innovation,Service
143,Transfer,Consultant,Work Right
144,Assist,Consultant,Document
145,Appoint,Consultant,Hereby  Officer
146,Make Full,Md Anderson,Written  Disclosure
147,Acknowledge,Md Anderson,Such  Invention
148,Assign,Md Anderson,Hereby  Transfer
149,Acquire,Agent,Right
150,Assigns To,V,Right
151,Assigns To,Ppd,Right
152,Cease,Lead  Scaffold,Section
153,Deemed,Anixa,Annual  Fee
154,Own,Ontochem,Compound Library
155,Owned By,However  Astella,Invention
156,Take,So  Astella,Reasonable  Action
157,Acknowledge,Party,Right
158,Made,Party,Part
159,Made,Case  Party,Part
160,Remain,Right  Interest,Tothe  Foregoing
161,Agree,Arizona,Entire  Right
162,Any,Thereof  That,Proceeding
163,Request,Assignor,Further  Assistance
164,Provide,Assignor,Further  Assistance
165,Assigns To,Sony,Sony‚Äôs Entire Sony‚Äôs Right
166,Entered Into,Third  That,Firmware  Code
167,Assign,Hsi,All  Right
