,source,edge,target,SourceType,TargetType,0: Legal_Related_Terms,
,Termination,Not Affect,Liability,0,0,1: ORG,1
,Termination Provision,Be Contained Within,Contract,0,0,2:Person,1
,Cure Of Breach,Is,Termination,0,0,3:GPE,2
,Wrongful Termination,Is,Repudiation Of Contract,0,0,4:State_or_country,
,Termination Clause,Describe,Procedure And Remedy,0,0,5:Product,
,Disclaimer,Specify,Limit Of Liability,0,0,6:Business_Related_Terms,
,Disclaimer,Protect Against,Legal Liability,0,0,7: Legal_Related_Practitioner,
,Copyright Disclaimer,Claim,Ownership Of Original Content,0,0,8: General,
,Copyright Disclaimer,Disclose,Use Of Copyrighted Materials,0,0,9: Contract_Categories,
9,Disclaimer,Protect Against,Copyright Infringement Claim,0,0,,
10,Indemnification,Compensate,Party For Harm,0,0,,
11,Indemnification,Refer To,Indemnity,0,0,,
12,Indemnification,Cover,Direct Claim,0,0,,
13,Indemnification Clause,Protect From,Damage And Lawsuit,0,0,,
14,Indemnification Clause,Consist,Obligation To Indemnify And Defend,0,0,,
15,Wgt'S Liability,Not Exceed,Compensation Paid,0,6,,
16,Distributor,Receive,Compensation,6,6,,
17,Compensation,Not Exceed,Maximum Amount,6,8,,
18,Party,Receive,Reasonable Compensation,0,6,,
19,Infringement,Arise Out Of,Conduct,0,8,,
20,Obligation,Not Apply To,Infringement,0,0,,
21,Infringement,Arise From,Indemnifying Party,0,0,,
22,Company,State,Infringement Of Intellectual Property Right,1,0,,
23,Liability,Arise From,Infingement Of Intellectual Property Right,0,0,,
24,Harm To One'S Right,Is,Infringement,0,0,,
25,Violation Of A Statute,Is,Infringement,0,0,,
26,Party,Subject To,Limitation Of Liability,0,0,,
27,Limitation Of Liability,Apply To,Vendor,0,6,,
28,Limitation Of Liability,Apply To,Obligation To Indemnify And Defend,0,0,,
29,Antare,Subject To,Limitation On Liability,1,0,,
30,Limitation Of Liability,Exclude,User From Damage,0,8,,
31,Limitation Of Liability,Specify,Maximum Refund,0,6,,
32,Obligation,Not Apply To,Infringement,0,0,,
33,Company'S Obligation,Limited To,Replacement Or Repair,0,6,,
34,Disclaimer,Specify,Scope Of Obligation,0,0,,
35,Obligation,Owed To,Disclaimant,0,0,,
36,Contractual Obligation,Is,Voluntary,0,0,,
37,Contractual Obligation,Is,Disclaimer-Sensitive,0,0,,
38,Consequential Damage,Arise Out Of,Breach Of Warranty,0,0,,
39,Consequential Damage,Caused By,Breach Of Statutory Duty,0,0,,
40,Breach,Result From,Truelink'S Negligence,0,8,,
41,Infringement Indemnification Obligation,Arise Out Of,Party'S Breach,0,0,,
42,Information,Be Kept Strictly Private By,Party,8,0,,
43,Personnel Record,Are Private,Except As Prohibited By Existing Law,8,0,,
44,Trade Secret,Include,Business Plan,6,6,,
45,Trade Secret,Is Defined By,Statute,6,0,,
46,Trade Secret Protection,Is,Indefinite,6,8,,
47,Trade Secret,Include,Engineering Information,6,8,,
48,Trade Secret,Include,Business And Financial Information,6,6,,
49,Trade Secret,Include,Unpublished Patent Application,6,6,,
50,Public,Have No Access To,Confidential Information,2,6,,
51,Confidential Information,Include,Bank Information,6,6,,
52,Confidential Information,Include,Medical History Or Record,6,0,,
53,Confidential Information,Include,Personal Care Issue,6,0,,
54,Confidential Information,Is,Private,6,8,,
55,Provision,Is,Stipulation,0,6,,
56,Substantive Provision,Identify,The Party,0,0,,
57,Boilerplate Provision,Is,Standard Term,0,0,,
58,Boilerplate Provision,Is,Grouped Miscellaneou,0,0,,
59,Boilerplate Porvision,Include,Choice Of Law,0,0,,
60,Obligation,Is,Legal Duty,0,0,,
61,Obligation,Is,Fulfillment Of Promises,0,0,,
62,Obligation,Is,Responsibility Of Party,0,0,,
63,Contractual Obligation,Depend On,Subject Matter,0,0,,
64,Contractual Obligation,Is,Transferable,0,0,,
65,Disclose Information,With,Permission,8,8,,
66,Non-Disclosure Agreement,Be Used Before,Information Disclosure,6,6,,
67,Disclosure,Give Rise To,Breach Of Confidence,0,0,,
68,Nda,Refer To,Nondisclure Agreement,0,6,,
69,Nondiclosure Agreement,Is,Legally Enforceable Contract,6,9,,
70,Security Contract,Is,In Recordable Form,9,8,,
71,Security Contract,Ensure,Insurance Converage,9,6,,
72,Security Contract,Ensure,The Contract,9,0,,
73,Security Contract,Ensure,Training Standard,9,6,,
74,Security Contract,Verify,Security Guard,9,8,,
75,Contract Restriction,Refer To,Restrictive Covenant,9,0,,
76,Restrictive Covenant,Prohibit,Employer,0,6,,
77,Restriction,As A Result Of,Court Order,8,0,,
78,Restriction,Include,Restricted Period,8,0,,
79,Restricted Period,Determined By,The Committee,0,0,,
80,Penalty,For,Breach Of Confidentiality,0,0,,
81,Penalty,Include,Loss Of Business Relationship,0,0,,
82,Penalty,Include,Employee Termination,0,0,,
83,Remedy,For,Breach Of Confidentiality,0,0,,
84,Remedy At Law,Is,Inadequate To Redress,0,8,,
85,Other Party,Is,Entitled To Equitable Remedy,0,0,,
86,Remedy,Is Waived By,Proof,0,0,,
87,Non-Defaulting Party,Elect,Remedy Action,0,0,,
88,Privity Of Contract,Is,A Common Law Principle,0,0,,
89,Privity Of Contract,Mean,Cannot Confer Right Upon Who Is Not A Party,0,0,,
90,Privity,Has,Statutory Exception,0,0,,
91,Privity Of Contract,Occur,Only Between The Parties To The Contract,0,8,,
92,Horizontal Privity,Arise,When The Benefits Are To Be Given To A Third Party,0,0,,
93,Exception,Include,Enforceable Third Party Right,8,0,,
94,Exception,Required By,Law,8,0,,
95,Mandatory Exception,Are,Well-Known And Understood,0,8,,
96,Exception,Include,Reporting Dependent Adult Abuse,8,0,,
97,Exception,Include,Reporting Child Abuse,8,0,,
98,Exception,Include,Reporting Elder Abuse,8,0,,
99,Confidentiality Clause,Also Known As,Non-Disclosure Agreement,0,6,,
100,Confidentiality Clause,Prevent,Divulging Sensitive Information,0,8,,
101,Confidentiality Clause,Prevent,Personally Indentifiable Information (Pii),0,8,,
